40 20 54 528
F 39 0 3 53
F 20 19 3 53
F 20 5 3 53
F 17 7 3 53
W 15 12 12 53
W 2 6 18 53
S 24 17 7 53
S 19 10 4 53
@ 36 3 5 53 0
T 38 18 2 53
T 12 6 5 53
U 12 4 0 53
U 1 9 0 53
U 32 16 0 53
U 27 15 0 53
N 23 2 99 53
N 31 16 99 53
H 36 7 10 53
U 31 15 0 52
U 26 15 0 52
U 5 5 0 52
N 24 3 99 52
U 33 15 0 50
U 27 14 0 47
U 32 17 0 46
U 2 9 0 46
U 1 10 0 45
N 25 4 99 45
H 35 8 10 42
U 30 14 0 42
U 33 14 0 41
N 26 5 99 40
U 6 3 0 39
N 27 4 99 37
U 6 2 0 37
U 2 8 0 36
U 7 3 0 36
U 30 15 0 36
D 24 6 0 35
G 3 9 0 35
U 33 16 0 35
U 31 14 0 35
U 4 4 0 35
U 28 14 0 34
D 24 5 0 34
H 34 8 10 34
U 32 15 0 34
U 32 18 0 33
U 30 13 0 33
U 26 16 0 33
U 31 17 0 33
U 34 17 0 32
N 27 6 99 32
U 28 15 0 32
U 5 3 0 32
U 33 17 0 32
U 29 14 0 31
U 13 3 0 31
U 4 5 0 31
N 22 2 99 31
D 16 9 0 30
D 15 9 0 30
H 35 9 10 30
N 27 5 99 30
U 33 13 0 30
U 5 2 0 30
U 34 16 0 30
D 24 7 0 29
U 27 16 0 29
D 25 7 0 28
D 23 6 0 28
U 35 16 0 28
U 29 15 0 28
U 33 18 0 28
D 25 6 0 28
U 7 2 0 28
D 17 8 0 26
D 21 8 0 26
H 36 8 10 27
D 22 6 0 26
D 16 10 0 25
D 13 12 0 25
D 26 8 0 26
D 23 7 0 25
U 36 16 0 26
U 4 3 0 26
H 37 7 10 26
D 16 4 0 25
D 16 5 0 25
D 18 9 0 24
U 14 3 0 25
U 7 4 0 25
D 15 6 0 23
D 13 7 0 23
D 18 6 0 24
D 17 5 0 24
D 21 6 0 23
D 24 8 0 24
D 26 11 0 24
U 25 15 0 24
D 24 9 0 23
D 25 5 0 23
U 30 12 0 23
D 25 10 0 22
D 18 5 0 22
H 35 7 10 23
D 22 7 0 22
D 17 9 0 23
H 36 6 10 23
U 35 15 0 23
D 22 5 0 21
D 14 8 0 22
D 14 7 0 22
D 25 9 0 22
D 15 7 0 21
U 28 16 0 22
H 33 8 10 22
D 17 13 0 21
D 12 7 0 21
D 27 8 0 20
D 21 7 0 20
D 23 5 0 20
U 28 17 0 21
D 18 8 0 20
D 18 4 0 21
U 24 14 0 21
U 3 5 0 21
D 20 7 0 20
D 17 3 0 20
D 19 7 0 20
D 19 8 0 20
D 23 8 0 19
D 14 6 0 19
D 11 9 0 19
D 22 8 0 19
U 34 18 0 20
D 19 9 0 20
U 8 3 0 20
D 11 10 0 18
D 12 12 0 19
D 17 14 0 19
D 28 11 0 19
D 19 6 0 18
D 21 5 0 18
D 19 11 0 18
U 2 10 0 19
N 26 4 99 19
D 26 12 0 17
D 16 8 0 17
D 26 7 0 18
D 19 5 0 18
D 25 11 0 18
D 28 12 0 18
U 23 13 0 18
D 26 6 0 18
D 25 8 0 16
D 22 9 0 17
D 28 9 0 16
D 27 9 0 17
D 18 15 0 16
D 20 8 0 17
D 27 12 0 16
D 21 3 0 17
D 12 9 0 17
D 20 3 0 16
G 3 8 0 17
U 35 18 0 17
D 14 4 0 16
U 9 3 0 17
U 6 4 0 17
D 27 11 0 17
H 38 8 10 17
D 17 4 0 17
U 3 4 0 17
D 16 12 0 16
D 21 9 0 15
D 13 4 0 16
D 23 4 0 15
D 17 2 0 16
D 20 9 0 16
D 16 3 0 15
U 0 9 0 16
D 27 7 0 16
D 24 10 0 15
H 33 7 10 16
U 2 5 0 16
U 7 1 0 16
D 27 10 0 15
D 19 3 0 16
D 14 5 0 14
D 28 7 0 14
D 12 8 0 15
D 17 16 0 14
D 18 3 0 15
D 22 4 0 14
D 16 2 0 14
D 13 5 0 14
D 26 10 0 15
D 27 13 0 15
D 11 4 0 15
N 28 5 99 15
D 19 4 0 15
D 23 9 0 15
